2025-12-15T19:43:11.000000000Z [inf]  Starting Container
2025-12-15T19:56:00.402789516Z [inf]  [Engine]   └─ Size: 1.5% | Lev: 3x | SL: $86780.00 | TP: $85490.00
2025-12-15T19:56:00.402798164Z [inf]  [Engine] BTCUSDT: Skipping trade - 8 consecutive losses (cooling down)
2025-12-15T19:56:09.130033051Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 72, direction: BUY)
2025-12-15T19:56:09.130054344Z [inf]  [GPT-Screen] SOLUSDT: score=72, direction=BUY, hasOpp=true
2025-12-15T19:56:10.024327375Z [inf]  [GPT-Screen] ETHUSDT: score=85, direction=BUY, hasOpp=true
2025-12-15T19:56:10.024421349Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 85, direction: BUY)
2025-12-15T19:56:29.445635104Z [inf]  [GPT-Screen] BTCUSDT: score=60, direction=SELL, hasOpp=true
2025-12-15T19:56:29.445644953Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 60, direction: SELL)
2025-12-15T19:56:29.445651349Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:56:29.445658058Z [inf]  [Engine] ETHUSDT: BUY (52%)
2025-12-15T19:56:29.445664971Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $2896.00 | TP: $2986.00
2025-12-15T19:56:49.447459945Z [inf]  [GPT-Screen] XRPUSDT: score=80, direction=SELL, hasOpp=true
2025-12-15T19:56:49.447467185Z [inf]  [Engine] XRPUSDT: Opportunity detected! (score: 80, direction: SELL)
2025-12-15T19:56:49.447474044Z [inf]  [GPT-Screen] BNBUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:56:49.447481309Z [inf]  [Engine] BTCUSDT: SELL (56%)
2025-12-15T19:56:49.447487583Z [inf]  [Engine]   └─ Size: 2% | Lev: 3x | SL: $86850.00 | TP: $85500.00
2025-12-15T19:56:56.196137040Z [inf]  [GPT-Screen] BNBUSDT: Empty content after 2 attempts
2025-12-15T19:56:56.196143574Z [inf]  [Engine] BNBUSDT: No opportunity (score: 0) - skipping
2025-12-15T19:56:58.368988819Z [inf]  [GPT-Screen] ETHUSDT: score=80, direction=BUY, hasOpp=true
2025-12-15T19:56:58.368998930Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 80, direction: BUY)
2025-12-15T19:57:01.217171939Z [inf]  [Engine] XRPUSDT: HOLD (58%)
2025-12-15T19:57:05.412954565Z [inf]  [GPT-Screen] SOLUSDT: score=65, direction=BUY, hasOpp=true
2025-12-15T19:57:05.412960622Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 65, direction: BUY)
2025-12-15T19:57:15.236082652Z [inf]  [GPT-Screen] DOGEUSDT: score=75, direction=BUY, hasOpp=true
2025-12-15T19:57:15.236110541Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 75, direction: BUY)
2025-12-15T19:57:21.495323841Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:57:23.373094665Z [inf]  [Engine] SOLUSDT: BUY (54%)
2025-12-15T19:57:23.373100105Z [inf]  [Engine]   └─ Size: 1.5% | Lev: 3x | SL: $123.88 | TP: $126.20
2025-12-15T19:57:24.220925004Z [inf]  [GPT-Screen] BTCUSDT: score=75, direction=BUY, hasOpp=true
2025-12-15T19:57:24.220929108Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 75, direction: BUY)
2025-12-15T19:57:29.362310381Z [inf]  [GPT-Screen] BNBUSDT: score=65, direction=SELL, hasOpp=true
2025-12-15T19:57:29.362318743Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 65, direction: SELL)
2025-12-15T19:57:36.270761301Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:57:36.270771515Z [inf]  [GPT-Screen] XRPUSDT: score=42, direction=SELL, hasOpp=false
2025-12-15T19:57:36.270777171Z [inf]  [Engine] XRPUSDT: No opportunity (score: 42) - skipping
2025-12-15T19:57:39.255791513Z [inf]  [Engine] BTCUSDT: BUY (56%)
2025-12-15T19:57:39.255795746Z [inf]  [Engine]   └─ Size: 1% | Lev: 3x | SL: $85590.00 | TP: $86580.00
2025-12-15T19:57:43.339415486Z [inf]  [Engine] BNBUSDT: HOLD (58%)
2025-12-15T19:58:02.680160964Z [inf]  [GPT-Screen] DOGEUSDT: score=70, direction=BUY, hasOpp=true
2025-12-15T19:58:02.680173042Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 70, direction: BUY)
2025-12-15T19:58:02.680183591Z [inf]  [GPT-Screen] ETHUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:58:02.680191024Z [inf]  [GPT-Screen] SOLUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:58:06.340813760Z [inf]  [GPT-Screen] SOLUSDT: score=70, direction=BUY, hasOpp=true
2025-12-15T19:58:06.340817894Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 70, direction: BUY)
2025-12-15T19:58:09.367380091Z [inf]  [GPT-Screen] ETHUSDT: score=78, direction=SELL, hasOpp=true
2025-12-15T19:58:09.367386319Z [inf]  [Engine] ETHUSDT: Opportunity detected! (score: 78, direction: SELL)
2025-12-15T19:58:18.424695200Z [inf]  [Engine] DOGEUSDT: HOLD (58%)
2025-12-15T19:58:21.422431059Z [inf]  [Engine] SOLUSDT: HOLD (58%)
2025-12-15T19:58:24.337970961Z [inf]  [Engine] ETHUSDT: HOLD (58%)
2025-12-15T19:58:25.261475131Z [inf]  [GPT-Screen] BTCUSDT: score=70, direction=SELL, hasOpp=true
2025-12-15T19:58:25.261480441Z [inf]  [Engine] BTCUSDT: Opportunity detected! (score: 70, direction: SELL)
2025-12-15T19:58:33.427527899Z [inf]  [GPT-Screen] BNBUSDT: score=65, direction=BUY, hasOpp=true
2025-12-15T19:58:33.427540881Z [inf]  [Engine] BNBUSDT: Opportunity detected! (score: 65, direction: BUY)
2025-12-15T19:58:33.427547753Z [inf]  [CryptoPanic] Using cached news data
2025-12-15T19:58:33.427554785Z [inf]  [CryptoPanic] Fetched global sentiment (cached 15 min)
2025-12-15T19:58:34.427849714Z [inf]  [GPT-Screen] XRPUSDT: Empty content (attempt 1), retrying...
2025-12-15T19:58:53.762911590Z [inf]  [GPT-Screen] XRPUSDT: score=40, direction=NONE, hasOpp=false
2025-12-15T19:58:53.762931359Z [inf]  [Engine] XRPUSDT: No opportunity (score: 40) - skipping
2025-12-15T19:58:53.762939292Z [inf]  [Engine] BNBUSDT: HOLD (63%)
2025-12-15T19:58:53.762944556Z [inf]  [Engine] BTCUSDT: HOLD (58%)
2025-12-15T19:58:55.478255255Z [inf]  [GPT-Screen] DOGEUSDT: score=62, direction=BUY, hasOpp=true
2025-12-15T19:58:55.478261119Z [inf]  [Engine] DOGEUSDT: Opportunity detected! (score: 62, direction: BUY)
2025-12-15T19:59:00.783775635Z [inf]  [GPT-Screen] SOLUSDT: score=66, direction=BUY, hasOpp=true
2025-12-15T19:59:00.783785823Z [inf]  [Engine] SOLUSDT: Opportunity detected! (score: 66, direction: BUY)
